City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Rikitea,PF,2020-01-04 20:04:54,-23.12,-134.97,77.2,77,67,16.6,broken clouds,0.0,0.0
1,Haines Junction,CA,2020-01-04 20:03:47,60.75,-137.51,-8.25,97,100,3.31,overcast clouds,0.0,0.0
2,Pedasi,PA,2020-01-04 20:04:54,7.53,-80.03,83.05,71,63,6.22,broken clouds,0.0,0.0
3,Dikson,RU,2020-01-04 20:04:55,73.51,80.55,0.25,82,100,22.15,overcast clouds,0.0,0.0
4,Bemmel,NL,2020-01-04 20:08:47,51.89,5.9,45.0,100,75,6.93,heavy intensity drizzle,0.0,0.0
5,Mahibadhoo,MV,2020-01-04 20:08:48,3.78,72.97,81.75,77,58,8.16,moderate rain,3.69,0.0
6,Arraial Do Cabo,BR,2020-01-04 20:08:48,-22.97,-42.02,77.0,94,75,4.7,light rain,0.0,0.0
7,Thompson,CA,2020-01-04 20:08:49,55.74,-97.86,1.4,77,90,5.82,light snow,0.0,0.0
8,Maningrida,AU,2020-01-04 20:08:49,-12.05,134.23,80.26,83,100,2.75,moderate rain,3.5,0.0
9,Umm Kaddadah,SD,2020-01-04 20:08:49,13.6,26.69,60.87,20,0,13.58,clear sky,0.0,0.0
10,Port-Gentil,GA,2020-01-04 20:08:49,-0.72,8.78,78.8,94,90,6.93,thunderstorm with light rain,0.0,0.0
11,Pimentel,BR,2020-01-04 20:04:57,-3.7,-45.5,74.52,97,100,3.2,light rain,3.0,0.0
12,Nha Trang,VN,2020-01-04 20:04:58,12.24,109.19,77.0,69,40,8.05,scattered clouds,0.0,0.0
13,Dongzhen,CN,2020-01-04 20:04:58,43.33,129.73,2.91,88,0,1.79,clear sky,0.0,0.0
14,Georgetown,GY,2020-01-04 20:01:17,6.8,-58.16,86.0,66,20,9.17,few clouds,0.0,0.0
15,Isangel,VU,2020-01-04 20:04:58,-19.55,169.27,76.89,78,5,14.47,light rain,0.19,0.0
16,Esperance,AU,2020-01-04 20:04:13,-33.86,121.89,55.4,71,0,10.29,clear sky,0.0,0.0
17,San Vicente De Canete,PE,2020-01-04 20:04:59,-13.08,-76.38,72.41,84,84,9.15,broken clouds,0.0,0.0
18,Norman Wells,CA,2020-01-04 20:04:59,65.28,-126.83,-18.4,68,90,6.93,light snow,0.0,0.0
19,Salalah,OM,2020-01-04 20:03:33,17.01,54.1,77.0,73,20,10.29,few clouds,0.0,0.0
20,Chokurdakh,RU,2020-01-04 20:04:59,70.62,147.9,-14.71,98,73,0.81,broken clouds,0.0,0.0
21,Mar Del Plata,AR,2020-01-04 20:05:00,-46.43,-67.52,64.15,42,17,13.82,few clouds,0.0,0.0
22,Fare,PF,2020-01-04 20:05:00,-16.7,-151.02,81.61,76,100,11.63,overcast clouds,0.0,0.0
23,Cape Town,ZA,2020-01-04 20:05:00,-33.93,18.42,69.01,72,29,8.05,scattered clouds,0.0,0.0
24,Riverton,US,2020-01-04 20:05:00,43.02,-108.38,33.01,68,1,4.7,clear sky,0.0,0.0
25,Atuona,PF,2020-01-04 20:05:01,-9.8,-139.03,81.55,68,5,9.24,clear sky,0.0,0.0
26,Ushuaia,AR,2020-01-04 20:05:01,-54.81,-68.31,57.2,41,40,5.82,scattered clouds,0.0,0.0
27,Puerto Ayora,EC,2020-01-04 20:05:01,-0.74,-90.35,86.0,58,20,13.87,few clouds,0.0,0.0
28,Port Elizabeth,US,2020-01-04 20:03:34,39.31,-74.98,57.99,93,90,6.93,overcast clouds,0.0,0.0
29,Honningsvag,NO,2020-01-04 20:05:01,70.98,25.97,28.02,74,100,29.89,light snow,0.0,0.38
30,Albany,US,2020-01-04 20:03:17,42.65,-73.75,42.8,86,90,6.93,light intensity drizzle,0.0,0.0
31,Upington,ZA,2020-01-04 20:05:02,-28.46,21.24,93.2,13,10,9.17,clear sky,0.0,0.0
32,Alice Springs,AU,2020-01-04 20:04:57,-23.7,133.88,68.0,77,90,10.29,overcast clouds,0.0,0.0
33,Chake Chake,TZ,2020-01-04 20:05:02,-5.25,39.77,82.47,78,73,10.71,broken clouds,0.0,0.0
34,Port Alfred,ZA,2020-01-04 20:05:03,-33.59,26.89,71.01,98,100,1.95,overcast clouds,0.0,0.0
35,Strezhevoy,RU,2020-01-04 20:05:03,60.73,77.6,23.0,92,90,15.66,overcast clouds,0.0,0.0
36,Vestmannaeyjar,IS,2020-01-04 20:05:03,63.44,-20.27,43.84,76,91,27.92,light rain,0.5,0.0
37,Half Moon Bay,US,2020-01-04 20:05:03,37.46,-122.43,61.0,87,75,8.05,broken clouds,0.0,0.0
38,Butaritari,KI,2020-01-04 20:03:19,3.07,172.79,84.61,78,38,15.12,scattered clouds,0.0,0.0
39,Kapaa,US,2020-01-04 20:03:19,22.08,-159.32,75.2,88,90,19.46,light rain,0.0,0.0
40,Jamestown,AU,2020-01-04 20:05:05,-33.21,138.6,55.47,52,99,15.46,overcast clouds,0.0,0.0
41,Maragogi,BR,2020-01-04 20:02:56,-9.01,-35.22,80.29,76,100,14.43,overcast clouds,0.0,0.0
42,Anagni,IT,2020-01-04 20:05:05,41.74,13.15,51.01,87,40,2.24,scattered clouds,0.0,0.0
43,Bluff,AU,2020-01-04 20:05:05,-23.58,149.07,72.23,72,59,8.48,broken clouds,0.0,0.0
44,Salinopolis,BR,2020-01-04 20:05:05,-0.61,-47.36,82.85,73,100,8.21,overcast clouds,0.0,0.0
45,Rovaniemi,FI,2020-01-04 20:05:06,66.5,25.72,21.2,67,26,12.75,scattered clouds,0.0,0.0
46,Varniai,LT,2020-01-04 20:05:06,55.74,22.37,35.6,74,90,11.41,overcast clouds,0.0,0.0
47,Birin,NP,2020-01-04 20:05:06,26.89,88.07,36.18,90,18,3.49,few clouds,0.0,0.0
48,Bambous Virieux,MU,2020-01-04 20:05:06,-20.34,57.76,79.0,94,40,13.6,scattered clouds,0.0,0.0
49,Sept-Iles,CA,2020-01-04 20:02:35,50.2,-66.38,28.4,68,75,8.05,broken clouds,0.0,0.0
50,Eyl,SO,2020-01-04 20:05:07,7.98,49.82,78.22,81,0,17.49,clear sky,0.0,0.0
51,Flin Flon,CA,2020-01-04 20:05:07,54.77,-101.88,12.2,85,90,8.05,light snow,0.0,0.0
52,Leningradskiy,RU,2020-01-04 20:05:07,69.38,178.42,-9.0,62,34,1.07,scattered clouds,0.0,0.0
53,Kindu,CD,2020-01-04 20:05:07,-2.95,25.92,70.9,96,100,1.92,light rain,1.63,0.0
54,Slave Lake,CA,2020-01-04 20:05:08,55.28,-114.77,17.6,85,90,3.36,overcast clouds,0.0,0.0
55,Pisco,PE,2020-01-04 20:05:08,-13.71,-76.2,75.0,30,89,14.99,overcast clouds,0.0,0.0
56,Busselton,AU,2020-01-04 20:05:08,-33.64,115.35,57.99,40,0,10.63,clear sky,0.0,0.0
57,Sarandi,BR,2020-01-04 20:05:08,-27.94,-52.92,78.8,61,75,16.11,broken clouds,0.0,0.0
58,Tasiilaq,GL,2020-01-04 20:03:20,65.61,-37.64,26.6,86,100,11.41,light snow,0.0,0.0
59,Yellowknife,CA,2020-01-04 20:05:09,62.45,-114.38,5.0,84,90,14.99,light snow,0.0,0.0
60,Awbari,LY,2020-01-04 20:05:09,26.59,12.77,45.14,60,0,2.86,clear sky,0.0,0.0
61,Hasaki,JP,2020-01-04 20:01:48,35.73,140.83,32.0,58,20,4.7,fog,0.0,0.0
62,Myitkyina,MM,2020-01-04 20:05:10,25.38,97.4,56.37,98,86,3.02,light rain,1.19,0.0
63,Sumisip,PH,2020-01-04 20:05:10,12.51,124.37,76.06,89,33,15.26,light rain,1.44,0.0
64,Yulara,AU,2020-01-04 20:01:07,-25.24,130.99,62.6,100,90,6.93,overcast clouds,0.0,0.0
65,San Quintin,PH,2020-01-04 20:05:10,17.54,120.52,68.83,79,65,4.88,broken clouds,0.0,0.0
66,Qaanaaq,GL,2020-01-04 20:05:10,77.48,-69.36,-40.9,61,0,5.1,clear sky,0.0,0.0
67,Kaitangata,NZ,2020-01-04 20:05:11,-46.28,169.85,49.23,86,100,7.96,light rain,2.5,0.0
68,Plouzane,FR,2020-01-04 20:05:11,48.38,-4.62,46.4,75,90,1.12,overcast clouds,0.0,0.0
69,Punta Arenas,CL,2020-01-04 20:05:11,-53.16,-70.91,59.0,44,40,14.99,scattered clouds,0.0,0.0
70,Borazjan,IR,2020-01-04 20:05:11,29.27,51.21,68.0,82,90,4.7,overcast clouds,0.0,0.0
71,Goderich,CA,2020-01-04 20:00:21,43.74,-81.71,34.0,85,94,12.33,light snow,0.0,0.13
72,Ancud,CL,2020-01-04 20:05:12,-41.87,-73.83,64.4,55,0,10.29,clear sky,0.0,0.0
73,Victoria,BN,2020-01-04 20:01:16,5.28,115.24,82.4,78,75,8.05,broken clouds,0.0,0.0
74,Dongsheng,CN,2020-01-04 20:05:13,29.72,112.52,45.39,82,100,3.74,overcast clouds,0.0,0.0
75,Hilo,US,2020-01-04 20:05:13,19.71,-155.08,75.2,73,40,3.36,scattered clouds,0.0,0.0
76,Whyalla,AU,2020-01-04 20:05:13,-33.04,137.58,58.14,80,100,21.72,light rain,1.63,0.0
77,Aklavik,CA,2020-01-04 20:05:13,68.22,-135.01,-22.0,74,40,6.93,scattered clouds,0.0,0.0
78,Lacombe,CA,2020-01-04 20:01:50,52.47,-113.73,33.01,77,75,9.17,broken clouds,0.0,0.0
79,East London,ZA,2020-01-04 20:05:14,-33.02,27.91,76.12,93,48,11.74,scattered clouds,0.0,0.0
80,Watsa,CD,2020-01-04 20:05:14,3.04,29.53,70.07,65,97,1.28,overcast clouds,0.0,0.0
81,Puerto Escondido,MX,2020-01-04 20:05:14,15.86,-97.07,83.86,53,88,4.7,overcast clouds,0.0,0.0
82,Vaini,IN,2020-01-04 20:03:25,15.34,74.49,59.25,75,0,1.34,clear sky,0.0,0.0
83,Lamu,CN,2020-01-04 20:05:15,35.77,102.37,19.49,91,90,4.76,overcast clouds,0.0,0.0
84,San Luis,AR,2020-01-04 20:03:07,-33.3,-66.34,97.84,22,51,9.44,broken clouds,0.0,0.0
85,Bredasdorp,ZA,2020-01-04 20:05:15,-34.53,20.04,68.0,64,25,8.05,scattered clouds,0.0,0.0
86,New Norfolk,AU,2020-01-04 20:05:16,-42.78,147.06,54.0,53,75,4.32,broken clouds,0.0,0.0
87,Beidao,CN,2020-01-04 20:05:16,34.57,105.89,30.16,93,96,3.83,light snow,0.0,0.19
88,Hobart,AU,2020-01-04 20:02:33,-42.88,147.33,54.0,53,75,6.62,broken clouds,0.0,0.0
89,Severo-Kurilsk,RU,2020-01-04 20:03:23,50.68,156.12,14.34,73,100,3.11,overcast clouds,0.0,0.0
90,Jamtara,IN,2020-01-04 20:05:17,23.95,86.82,62.6,93,75,6.73,mist,0.0,0.0
91,Palmer,AU,2020-01-04 20:05:17,-34.85,139.16,55.99,87,90,8.05,light rain,0.0,0.0
92,Hernani,ES,2020-01-04 20:05:17,43.27,-1.98,50.0,81,75,6.55,broken clouds,0.0,0.0
93,Vila Franca Do Campo,PT,2020-01-04 20:05:17,37.72,-25.43,62.6,88,20,10.29,few clouds,0.0,0.0
94,Vawkavysk,BY,2020-01-04 20:05:18,53.15,24.45,32.27,99,100,5.93,snow,0.0,2.44
95,Buala,SB,2020-01-04 20:05:18,-8.15,159.59,82.56,79,87,7.29,overcast clouds,0.0,0.0
96,Hermanus,ZA,2020-01-04 20:05:18,-34.42,19.24,64.99,87,5,3.0,clear sky,0.0,0.0
97,Fortuna,US,2020-01-04 20:03:45,40.6,-124.16,55.0,87,1,4.7,clear sky,0.0,0.0
98,Nome,US,2020-01-04 20:05:19,30.04,-94.42,69.01,32,1,8.05,clear sky,0.0,0.0
99,Provideniya,RU,2020-01-04 20:05:19,64.42,-173.23,-12.82,78,60,10.63,broken clouds,0.0,0.0
100,Luderitz,NA,2020-01-04 20:05:20,-26.65,15.16,62.53,87,0,25.5,clear sky,0.0,0.0
101,Barrow,AR,2020-01-04 20:05:20,-38.31,-60.23,77.27,55,75,18.05,broken clouds,0.0,0.0
102,Muravlenko,RU,2020-01-04 20:05:20,63.79,74.5,22.69,92,100,22.55,light snow,0.0,0.5
103,Bethel,US,2020-01-04 20:05:20,60.79,-161.76,-9.4,75,1,5.82,clear sky,0.0,0.0
104,Shitanjing,CN,2020-01-04 20:05:21,39.23,106.34,28.72,80,89,5.44,overcast clouds,0.0,0.0
105,Tuktoyaktuk,CA,2020-01-04 20:05:21,69.44,-133.03,-23.8,74,40,11.41,scattered clouds,0.0,0.0
106,Saint-Georges,CA,2020-01-04 20:03:03,46.12,-70.67,35.01,84,100,1.01,light snow,0.0,0.13
107,Puerto Cabezas,NI,2020-01-04 20:05:21,14.04,-83.39,87.8,79,40,6.93,haze,0.0,0.0
108,Marsh Harbour,BS,2020-01-04 20:05:21,26.54,-77.06,79.03,73,65,15.95,broken clouds,0.0,0.0
109,Bucerias,MX,2020-01-04 20:05:22,20.76,-105.33,77.0,53,75,5.82,broken clouds,0.0,0.0
110,Slantsy,RU,2020-01-04 20:05:22,59.12,28.09,32.61,84,100,9.53,light snow,0.0,0.19
111,Ribeira Grande,PT,2020-01-04 20:05:22,38.52,-28.7,64.4,88,40,11.41,scattered clouds,0.0,0.0
112,Tual,ID,2020-01-04 20:05:23,-5.67,132.75,82.65,79,100,18.99,light rain,2.44,0.0
113,Dakoro,NE,2020-01-04 20:05:23,14.51,6.76,59.72,24,0,14.83,clear sky,0.0,0.0
114,Chifeng,CN,2020-01-04 20:03:03,42.27,118.96,14.9,72,0,4.05,clear sky,0.0,0.0
115,Brindisi,IT,2020-01-04 20:05:23,40.63,17.94,52.0,76,0,11.41,clear sky,0.0,0.0
