City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
0,Rikitea,PF,77.2,-23.12,-134.97,broken clouds,Pension Maro'i
2,Pedasi,PA,83.05,7.53,-80.03,broken clouds,Selina Pedasi
6,Arraial Do Cabo,BR,77.0,-22.97,-42.02,light rain,Pousada Porto Praia
10,Port-Gentil,GA,78.8,-0.72,8.78,thunderstorm with light rain,Fengshui Residence
12,Nha Trang,VN,77.0,12.24,109.19,scattered clouds,Hanoi Golden Hotel
14,Georgetown,GY,86.0,6.8,-58.16,few clouds,Kanhai's Center
17,San Vicente De Canete,PE,72.41,-13.08,-76.38,broken clouds,Hospedaje & Restaurant Don Luciano
19,Salalah,OM,77.0,17.01,54.1,few clouds,HAMDAN PLAZA HOTEL
22,Fare,PF,81.61,-16.7,-151.02,overcast clouds,Maitai Lapita Village Huahine
25,Atuona,PF,81.55,-9.8,-139.03,clear sky,Villa Enata
27,Puerto Ayora,EC,86.0,-0.74,-90.35,few clouds,Finch Bay Galapagos Hotel
33,Chake Chake,TZ,82.47,-5.25,39.77,broken clouds,Hotel Archipelago
34,Port Alfred,ZA,71.01,-33.59,26.89,overcast clouds,The Halyards Hotel
38,Butaritari,KI,84.61,3.07,172.79,scattered clouds,Isles Sunset Lodge
39,Kapaa,US,75.2,22.08,-159.32,light rain,Sheraton Kauai Coconut Beach Resort
41,Maragogi,BR,80.29,-9.01,-35.22,overcast clouds,Salinas do Maragogi All Inclusive Resort
43,Bluff,AU,72.23,-23.58,149.07,broken clouds,Bluff Hotel
44,Salinopolis,BR,82.85,-0.61,-47.36,overcast clouds,Hotel Salinópolis
48,Bambous Virieux,MU,79.0,-20.34,57.76,scattered clouds,Casa Tia Villa
50,Eyl,SO,78.22,7.98,49.82,clear sky,Amiin Hotel
55,Pisco,PE,75.0,-13.71,-76.2,overcast clouds,Hostal San Isidro Oficial
57,Sarandi,BR,78.8,-27.94,-52.92,broken clouds,Hotel San Francisco
73,Victoria,BN,82.4,5.28,115.24,broken clouds,Tiara Labuan Hotel
75,Hilo,US,75.2,19.71,-155.08,scattered clouds,Hilo Seaside Hotel
79,East London,ZA,76.12,-33.02,27.91,scattered clouds,Tu Casa
80,Watsa,CD,70.07,3.04,29.53,overcast clouds,Hôtel Le Pacifique
81,Puerto Escondido,MX,83.86,15.86,-97.07,overcast clouds,Aldea del Bazar Hotel and Spa
95,Buala,SB,82.56,-8.15,159.59,overcast clouds,Maringe Lagoon Lodge
101,Barrow,AR,77.27,-38.31,-60.23,broken clouds,
107,Puerto Cabezas,NI,87.8,14.04,-83.39,haze,Hotel Caribe
108,Marsh Harbour,BS,79.03,26.54,-77.06,broken clouds,Abaco Beach Resort
109,Bucerias,MX,77.0,20.76,-105.33,broken clouds,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
116,Langsa,ID,72.7,4.47,97.97,clear sky,Kartika Hotel
120,Tigre,AR,86.0,-34.42,-58.58,few clouds,Puerto Delta Apartamentos
123,Carnarvon,ZA,72.52,-30.97,22.13,clear sky,Maritza Bed & Breakfast
125,Namibe,AO,75.63,-15.19,12.15,overcast clouds,Chik-Chik Namibe
136,Manokwari,ID,72.88,-0.87,134.08,overcast clouds,Swiss Belhotel Manokwari
137,Bagua Grande,PE,77.65,-5.75,-78.44,broken clouds,Hotel Kuelap
138,Hithadhoo,MV,83.03,-0.6,73.08,overcast clouds,Scoop Guest House
146,Loiza,PR,84.2,18.43,-65.88,scattered clouds,Beachside Getaway Suites
149,Mahebourg,MU,79.0,-20.41,57.7,scattered clouds,Shandrani Beachcomber Resort & Spa
151,Antsohihy,MG,74.84,-14.88,47.99,overcast clouds,Hotel de Ville
153,Ouesso,CG,75.16,1.61,16.05,broken clouds,Hôtel ABENI
154,Avarua,CK,78.8,-21.21,-159.78,light rain,Paradise Inn
156,Puerto Lleras,CO,87.8,8.16,-72.46,few clouds,
158,Kokologo,BF,75.2,12.19,-1.88,overcast clouds,
161,Cockburn Town,TC,80.6,21.46,-71.14,scattered clouds,Osprey Beach Hotel
162,Chuy,UY,74.25,-33.69,-53.46,few clouds,Nuevo Hotel Plaza
163,Zaraza,VE,86.68,9.35,-65.33,clear sky,Hotel Zaraza
