City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tuktoyaktuk,CA,2020-01-02 19:32:22,69.44,-133.03,-13.0,75,75,14.99
1,Avarua,CK,2020-01-02 19:31:37,-21.21,-159.78,77.0,73,83,2.24
2,Albany,US,2020-01-02 19:32:22,42.65,-73.75,45.0,52,20,6.93
3,Haines Junction,CA,2020-01-02 19:32:23,60.75,-137.51,-2.94,99,72,5.44
4,Flagstaff,US,2020-01-02 19:28:25,35.2,-111.65,52.0,37,1,14.99
5,Busselton,AU,2020-01-02 19:32:24,-33.64,115.35,50.0,55,0,15.21
6,Naze,NG,2020-01-02 19:32:24,5.43,7.07,77.0,50,0,7.0
7,Georgetown,GY,2020-01-02 19:32:24,6.8,-58.16,86.0,65,20,9.17
8,Trinidad,BO,2020-01-02 19:29:38,-14.83,-64.9,84.2,79,75,4.7
9,Pacific Grove,US,2020-01-02 19:32:03,36.62,-121.92,61.0,77,1,5.82
10,Belgaum,IN,2020-01-02 19:32:25,15.87,74.5,64.81,84,0,1.61
11,Buchanan,LR,2020-01-02 19:32:25,5.88,-10.05,80.6,83,20,3.6
12,Outjo,NA,2020-01-02 19:32:26,-20.11,16.16,71.6,83,50,1.12
13,Vao,EE,2020-01-02 19:32:26,59.1,26.19,37.09,89,15,12.93
14,Saint George,GR,2020-01-02 19:32:26,39.45,22.34,42.01,59,20,6.93
15,Khatanga,RU,2020-01-02 19:32:26,71.98,102.47,-6.59,98,100,1.81
16,Arraial Do Cabo,BR,2020-01-02 19:32:27,-22.97,-42.02,86.0,74,75,6.93
17,San Patricio,PY,2020-01-02 19:32:27,-26.98,-56.83,85.98,49,67,9.42
18,Baley,RU,2020-01-02 19:32:27,51.58,116.65,-12.35,94,0,3.89
19,Hermanus,ZA,2020-01-02 19:32:27,-34.42,19.24,66.99,77,0,10.0
20,Geraldton,CA,2020-01-02 19:32:28,49.72,-86.95,30.2,92,90,6.46
21,Hithadhoo,MV,2020-01-02 19:32:28,-0.6,73.08,82.69,78,0,13.13
22,Krasnoturansk,RU,2020-01-02 19:32:28,54.32,91.57,30.2,74,100,6.71
23,Imeni Poliny Osipenko,RU,2020-01-02 19:32:29,52.42,136.49,-7.17,94,100,2.48
24,Ushuaia,AR,2020-01-02 19:28:21,-54.81,-68.31,53.6,71,20,25.28
25,Eureka,US,2020-01-02 19:32:29,40.8,-124.16,52.0,81,1,4.7
26,Carnarvon,ZA,2020-01-02 19:32:29,-30.97,22.13,66.9,67,0,20.94
27,Te Anau,NZ,2020-01-02 19:32:30,-45.41,167.72,48.04,64,33,8.79
